Brand Cockpit - Level 1,Brand Cockpit - Level 2,Platform,Global / Local,MU,Category,Month,Year,Data,Scenario,Value
Mirinda,Mirinda,Flavors,Global,Netherlands,Beverages,Feb,2017,NR,Plan,"9,462.10"
Doritos,Core,Deepen Youth Footprint,Global,Spain,Snacks,Jun,2017,NR,Plan,"9,482.30"
Lipton,Lipton,RTD,Global,Italy,Beverages,Jan,2017,Vol,Plan,"9,499.40"
Doritos,Core,Deepen Youth Footprint,Global,Germany,Snacks,Jul,2017,Vol,Plan,"9,505.70"
Balance,Elite Popcorn,Other,Local,Belgium,Snacks,Jan,2017,Vol,LY,"9,528.30"
Other CSD,Slice,Flavors,Local,Italy,Beverages,Apr,2017,Vol,Plan,"9,528.90"
Mirinda,Mirinda,Flavors,Global,Netherlands,Beverages,Jan,2017,Vol,Plan,"9,533.60"
Lipton,Lipton [green],RTD,Global,Netherlands,Beverages,Jun,2017,NR,Actual,"9,536.50"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Feb,2017,Vol,Plan,"9,539.80"
Other CSD,Slice,Flavors,Local,Italy,Beverages,Jul,2017,Vol,Plan,"9,545.10"
Lay's,PC Stix,Build Lays Powerbrand,Global,Switzerland,Snacks,Oct,2017,Vol,Fcst,"9,557.70"
Quaker,Oats,Other,Global,Spain,Snacks,Aug,2017,Vol,Plan,"9,568.60"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Spain,Snacks,Oct,2017,Vol,Actual,"9,577.40"
Other CSD,Slice,Flavors,Local,Italy,Beverages,Aug,2017,NR,Plan,"9,589.90"
Other Global,Gatorade ,Other,Global,Portugal,Beverages,Sep,2017,Vol,Fcst,"9,596.40"
Mirinda,MirindaFlav,Flavors,Global,Italy,Beverages,Nov,2017,Vol,LY,"9,598.10"
Mountain Dew,Mountain Dew,Flavors,Global,Italy,Beverages,Nov,2017,Vol,Plan,"9,600.40"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Spain,Snacks,Mar,2017,Vol,Actual,"9,600.40"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Spain,Snacks,Mar,2017,Vol,Fcst,"9,600.40"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Jul,2017,Vol,Actual,"9,605.40"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Jul,2017,Vol,Fcst,"9,605.40"
Balance,Balance,Other,Local,Spain,Snacks,Jan,2017,NR,Actual,"9,618.20"
Balance,Balance,Other,Local,Spain,Snacks,Jan,2017,NR,Fcst,"9,618.20"
Star,Pretzel / Stick,Capture Family Fun,Local,Poland,Snacks,Oct,2017,NR,Fcst,"9,636.30"
Cheetos,Extruded / Pellet,Capture Family Fun,Global,Spain,Snacks,Sep,2017,Vol,Actual,"9,638.20"
Tasty,3D (Bugles),Capture Family Fun,Local,Spain,Snacks,Sep,2017,Vol,LY,"9,645.70"
Balance,Balance,Other,Local,Belgium,Snacks,Dec,2017,Vol,Fcst,"9,657.80"
Pepsi,Pepsi Light,Colas,Global,Italy,Beverages,Oct,2017,Vol,LY,"9,660.30"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Oct,2017,Vol,LY,"9,674.30"
Mountain Dew,Mountain Dew,Flavors,Global,Netherlands,Beverages,Apr,2017,Vol,Actual,"9,675.40"
Mountain Dew,Mountain Dew,Flavors,Global,Netherlands,Beverages,Apr,2017,Vol,Fcst,"9,675.40"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Oct,2017,Vol,LY,"9,682.50"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Apr,2017,Vol,Plan,"9,689.70"
Star,N&S,Capture Family Fun,Local,Poland,Snacks,May,2017,NR,LY,"9,691.70"
Other CSD,IVI Local flavors,Flavors,Local,Portugal,Beverages,Nov,2017,NR,LY,"9,695.00"
Pepsi,Pepsi Twist,Colas,Global,Italy,Beverages,Feb,2017,Vol,LY,"9,699.20"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Mar,2017,Vol,LY,"9,701.30"
Quaker,Oats,Other,Global,Spain,Snacks,Aug,2017,Vol,LY,"9,708.00"
Tasty,3D (Bugles),Capture Family Fun,Local,Spain,Snacks,Sep,2017,Vol,Actual,"9,711.90"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Aug,2017,Vol,Plan,"9,714.60"
Quaker,Cereals,Other,Global,Spain,Snacks,Aug,2017,Vol,Actual,"9,716.20"
Quaker,Cereals,Other,Global,Spain,Snacks,Sep,2017,Vol,Actual,"9,716.20"
Quaker,Cereals,Other,Global,Spain,Snacks,Aug,2017,Vol,Fcst,"9,716.20"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Jul,2017,Vol,Actual,"9,732.40"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Jul,2017,Vol,Fcst,"9,732.40"
Star,N&S,Capture Family Fun,Local,France,Snacks,Oct,2017,Vol,Actual,"9,735.20"
Star,Pretzel / Stick,Capture Family Fun,Local,Poland,Snacks,Sep,2017,NR,LY,"9,759.50"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Jan,2017,Vol,Actual,"9,768.20"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Jan,2017,Vol,Fcst,"9,768.20"
Other Global,Gatorade ,Other,Global,Spain,Beverages,Sep,2017,NR,Fcst,"9,769.90"
Lay's,PC Stix,Build Lays Powerbrand,Global,Netherlands,Snacks,Dec,2017,Vol,LY,"9,772.20"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Oct,2017,Vol,Fcst,"9,783.40"
Quaker,Oats,Other,Global,Spain,Snacks,Dec,2017,Vol,Actual,"9,791.00"
Lay's,PC Strong,Build Lays Powerbrand,Global,Italy,Snacks,Oct,2017,Vol,LY,"9,795.20"
Other Global,Gatorade ,Other,Global,France,Beverages,Aug,2017,Vol,LY,"9,799.70"
Other Global,Gatorade ,Other,Global,Italy,Beverages,Feb,2017,NR,Fcst,"9,804.90"
Other Global,Gatorade ,Other,Global,Italy,Beverages,Feb,2017,NR,Actual,"9,804.90"
Lay's,Scoops,Build Lays Powerbrand,Global,Poland,Snacks,Apr,2017,NR,Actual,"9,809.30"
Quaker,Bars,Other,Global,Spain,Snacks,Dec,2017,NR,Plan,"9,813.00"
Ruffles,Ruffles,Build Lays Powerbrand,Global,Germany,Snacks,May,2017,Vol,Plan,"9,820.20"
Other CSD,Slice,Flavors,Local,Switzerland,Beverages,Jun,2017,NR,Actual,"9,820.80"
Other Juice,Toma Still Drink,Other,Local,Italy,Beverages,May,2017,Vol,Actual,"9,821.00"
Other Juice,Toma Still Drink,Other,Local,Italy,Beverages,May,2017,Vol,Fcst,"9,821.00"
Pardon,Cracker,Other,Local,Germany,Snacks,Jun,2017,Vol,Plan,"9,828.50"
Star,Pretzel / Stick,Capture Family Fun,Local,Poland,Snacks,Oct,2017,NR,Plan,"9,836.20"
Pardon,Cracker,Other,Local,Germany,Snacks,Dec,2017,NR,Fcst,"9,840.20"
Lay's,Scoops,Build Lays Powerbrand,Global,Spain,Snacks,Sep,2017,NR,Actual,"9,841.60"
Balance,Balance,Other,Local,Spain,Snacks,Aug,2017,Vol,Actual,"9,843.60"
Balance,Balance,Other,Local,Spain,Snacks,Aug,2017,Vol,Fcst,"9,843.60"
Quaker,Oats,Other,Global,Spain,Snacks,Jul,2017,Vol,LY,"9,844.00"
Cheetos,Sweet,Capture Family Fun,Global,Spain,Snacks,Jun,2017,NR,Actual,"9,848.40"
Cheetos,Sweet,Capture Family Fun,Global,Spain,Snacks,Jun,2017,NR,Fcst,"9,848.40"
Cheetos,Sweet,Capture Family Fun,Global,Spain,Snacks,Dec,2017,NR,Actual,"9,852.20"
Other CSD,Slice,Flavors,Local,Italy,Beverages,Mar,2017,Vol,Plan,"9,855.70"
Pepsi,Pepsi Twist,Colas,Global,Portugal,Beverages,Aug,2017,NR,LY,"9,857.60"
Quaker,Cereals,Other,Global,Spain,Snacks,Dec,2017,Vol,Actual,"9,860.10"
Other CSD,Evervess,Flavors,Local,Italy,Beverages,Jan,2017,Vol,LY,"9,875.40"
Quaker,Oats,Other,Global,Spain,Snacks,Jul,2017,Vol,Plan,"9,875.70"
Balance,Elite Popcorn,Other,Local,Belgium,Snacks,Jul,2017,Vol,LY,"9,879.70"
Quaker,Bars,Other,Global,Spain,Snacks,Dec,2017,NR,Fcst,"9,880.00"
Mountain Dew,Mountain Dew,Flavors,Global,Netherlands,Beverages,Nov,2017,Vol,LY,"9,886.70"
