Brand Cockpit - Level 1,Brand Cockpit - Level 2,Platform,Global / Local,MU,Category,Month,Year,Data,Scenario,Value
Quaker,Oats,Other,Global,Spain,Snacks,Feb,2017,Vol,Actual,"10,438.50"
Quaker,Oats,Other,Global,Spain,Snacks,Feb,2017,Vol,Fcst,"10,438.50"
Cheetos,Popcorn,Capture Family Fun,Global,Spain,Snacks,May,2017,NR,LY,"10,442.20"
Balance,Balance,Other,Local,Spain,Snacks,Jan,2017,NR,Plan,"10,448.50"
Quaker,Oats,Other,Global,Spain,Snacks,Sep,2017,Vol,Fcst,"10,449.50"
Cheetos,Popcorn,Capture Family Fun,Global,Spain,Snacks,Apr,2017,NR,Plan,"10,454.00"
Quaker,Oats,Other,Global,Spain,Snacks,Sep,2017,Vol,Plan,"10,456.60"
Other CSD,Slice,Flavors,Local,Italy,Beverages,Jul,2017,NR,LY,"10,458.90"
Lay's,PC Max,Build Lays Powerbrand,Global,Switzerland,Snacks,Jul,2017,Vol,LY,"10,461.40"
Lipton,Lipton,RTD,Global,Portugal,Beverages,Jan,2017,Vol,Actual,"10,461.90"
Mountain Dew,Mountain Dew,Flavors,Global,Switzerland,Beverages,Sep,2017,Vol,LY,"10,468.40"
Other Global,Gatorade ,Other,Global,Italy,Beverages,Jan,2017,NR,Plan,"10,477.70"
