2015,Veracruz de Ignacio de la Llave,Violaci�n simple,Violaci�n simple,8,11,10,10,9,12,10
2015,Veracruz de Ignacio de la Llave,Violaci�n equiparada,Violaci�n equiparada,0,0,0,0,0,0,0
2015,Veracruz de Ignacio de la Llave,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,30,37,30,37,40,36,28
2015,Yucatan,Abuso sexual,Abuso sexual,34,32,36,36,42,45,42
2015,Yucatan,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0
2015,Yucatan,Hostigamiento sexual,Hostigamiento sexual,1,1,0,0,0,3,0
2015,Yucatan,Violaci�n simple,Violaci�n simple,25,13,26,13,16,17,22
2015,Yucatan,Violaci�n equiparada,Violaci�n equiparada,0,0,0,0,0,0,0
2015,Yucatan,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,3,1,3,3,2,0,1
2015,Zacatecas,Abuso sexual,Abuso sexual,0,0,0,0,0,0,0
2015,Zacatecas,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0
2015,Zacatecas,Hostigamiento sexual,Hostigamiento sexual,1,0,4,0,1,0,0
2015,Zacatecas,Violaci�n simple,Violaci�n simple,17,11,4,12,16,13,6
2015,Zacatecas,Violaci�n equiparada,Violaci�n equiparada,0,2,2,6,11,7,5
2015,Zacatecas,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,8,14,17,14,12,12,19
2016,Aguascalientes,Abuso sexual,Abuso sexual,1,0,0,0,0,0,0
2016,Aguascalientes,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0
2016,Aguascalientes,Hostigamiento sexual,Hostigamiento sexual,1,1,0,0,0,0,0
2016,Aguascalientes,Violaci�n simple,Violaci�n simple,7,5,11,8,8,12,9
2016,Aguascalientes,Violaci�n equiparada,Violaci�n equiparada,2,3,2,4,7,2,7
2016,Aguascalientes,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,18,17,11,34,24,25,16
2016,Baja California,Abuso sexual,Abuso sexual,75,89,96,99,120,96,124
2016,Baja California,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0
2016,Baja California,Hostigamiento sexual,Hostigamiento sexual,12,7,5,8,10,8,5
2016,Baja California,Violaci�n simple,Violaci�n simple,54,40,59,59,39,53,62
2016,Baja California,Violaci�n equiparada,Violaci�n equiparada,23,33,33,36,45,32,38
2016,Baja California,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,16,31,21,20,29,20,28
2016,Baja California Sur,Abuso sexual,Abuso sexual,15,18,11,9,17,12,19
2016,Baja California Sur,Acoso sexual,Acoso sexual,0,3,5,1,3,8,4
2016,Baja California Sur,Hostigamiento sexual,Hostigamiento sexual,0,2,1,0,1,1,0
2016,Baja California Sur,Violaci�n simple,Violaci�n simple,9,15,28,21,10,13,13
2016,Baja California Sur,Violaci�n equiparada,Violaci�n equiparada,0,0,0,3,0,0,0
2016,Baja California Sur,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,5,2,5,7,8,6,2
2016,Campeche,Abuso sexual,Abuso sexual,0,3,3,3,2,0,2
2016,Campeche,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0
2016,Campeche,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0
2016,Campeche,Violaci�n simple,Violaci�n simple,1,4,2,6,13,9,9
2016,Campeche,Violaci�n equiparada,Violaci�n equiparada,4,2,2,12,11,5,11
2016,Campeche,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,0,0,0,4,5,6,6
2016,Coahuila de Zaragoza,Abuso sexual,Abuso sexual,12,31,32,40,42,50,41
2016,Coahuila de Zaragoza,Acoso sexual,Acoso sexual,8,9,11,14,11,20,15
2016,Coahuila de Zaragoza,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0
2016,Coahuila de Zaragoza,Violaci�n simple,Violaci�n simple,5,18,12,15,6,15,17
2016,Coahuila de Zaragoza,Violaci�n equiparada,Violaci�n equiparada,2,6,2,5,10,14,12
2016,Coahuila de Zaragoza,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,7,3,4,6,11,16,7
2016,Colima,Abuso sexual,Abuso sexual,9,6,4,0,0,0,1
2016,Colima,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0
2016,Colima,Hostigamiento sexual,Hostigamiento sexual,0,0,1,0,0,0,0
2016,Colima,Violaci�n simple,Violaci�n simple,4,8,4,7,17,8,12
2016,Colima,Violaci�n equiparada,Violaci�n equiparada,0,0,0,0,0,0,0
2016,Colima,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,4,3,4,11,7,0,1
2016,Chiapas,Abuso sexual,Abuso sexual,32,27,19,30,24,23,29
2016,Chiapas,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0
2016,Chiapas,Hostigamiento sexual,Hostigamiento sexual,3,1,0,8,3,3,1
2016,Chiapas,Violaci�n simple,Violaci�n simple,36,47,74,50,50,45,44
2016,Chiapas,Violaci�n equiparada,Violaci�n equiparada,7,4,4,15,11,7,17
2016,Chiapas,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,5,2,5,5,4,8,7
2016,Chihuahua,Abuso sexual,Abuso sexual,68,79,81,100,116,99,121
2016,Chihuahua,Acoso sexual,Acoso sexual,0,0,0,0,0,0,0
2016,Chihuahua,Hostigamiento sexual,Hostigamiento sexual,12,6,6,14,9,8,12
2016,Chihuahua,Violaci�n simple,Violaci�n simple,54,57,62,78,69,61,71
2016,Chihuahua,Violaci�n equiparada,Violaci�n equiparada,14,9,24,12,18,18,23
2016,Chihuahua,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,6,10,3,9,10,5,6
2016,Ciudad de Mexico,Abuso sexual,Abuso sexual,123,143,151,193,249,229,175
2016,Ciudad de Mexico,Acoso sexual,Acoso sexual,1,0,0,0,4,16,40
2016,Ciudad de Mexico,Hostigamiento sexual,Hostigamiento sexual,0,0,0,0,0,0,0
2016,Ciudad de Mexico,Violaci�n simple,Violaci�n simple,28,34,25,40,55,75,55
2016,Ciudad de Mexico,Violaci�n equiparada,Violaci�n equiparada,1,4,2,2,3,4,12
2016,Ciudad de Mexico,Otros delitos que atentan contra la libertad y la seguridad sexual,Otros delitos que atentan contra la libertad y la seguridad sexual,1,3,0,2,1,2,2
2016,Durango,Abuso sexual,Abuso sexual,21,18,21,30,19,28,17
2016,Durango,Acoso sexual,Acoso sexual,0,0,1,1,1,1,0
2016,Durango,Hostigamiento sexual,Hostigamiento sexual,0,3,3,6,3,6,1
